competicaoBaseId,designacao,competicaoBasePaiId,TempoTotalJogo,NumTotNiveis,Calculadora,Estilo,RefIdCicloEnsino,IconName
1,DIZ4,NULL,40,20,0,D4,1,diz4.png
2,DIZ4 Português,NULL,10,5,0,D4,1,diz4.png
3,DIZ4 Matemática,NULL,10,5,0,D4,1,diz4.png
4,DIZ4 Estudo do Meio,NULL,10,5,0,D4,1,diz4.png
5,DIZ4 Inglês,NULL,10,5,0,D4,1,diz4.png
6,NOTA+,NULL,20,10,0,N+,1,notamais.png
7,maismat,NULL,30,10,1,+M,2,maismat.png
8,maismat5,7,30,10,1,+M,2,maismat.png
9,maismat6,7,30,10,1,+M,2,maismat.png
10,DAR@língua 2º ciclo,NULL,30,10,0,POR,2,daralingua.png
11,DAR@língua 5º ano – língua,10,30,10,0,POR,2,daralingua.png
12,DAR@língua 6º ano – língua,10,30,10,0,POR,2,daralingua.png
13,natweb,NULL,20,10,0,nw,2,natweb.png
14,natweb5,13,20,10,0,nw,2,natweb_5.png
15,natweb6,13,20,10,0,nw,2,natweb_6.png
16,EQUAmat,NULL,30,20,1,EM,3,equamat.png
17,EQUAmat 7º ano,16,30,20,1,EM,3,equamat.png
18,EQUAmat 8º ano,16,30,20,1,EM,3,equamat.png
19,EQUAmat 9º ano,16,30,20,1,EM,3,equamat.png
20,DAR@língua 3º ciclo,NULL,30,10,0,POR,3,daralingua.png
21,DAR@língua 7º ano – língua,20,30,10,0,POR,3,daralingua.png
22,DAR@língua 8º ano – língua,20,30,10,0,POR,3,daralingua.png
23,DAR@língua 9º ano – língua,20,30,10,0,POR,3,daralingua.png
24,fisQ,NULL,30,10,1,fisQ,3,fisq.png
25,fisQ Física,NULL,15,5,1,fisQ,3,fisq.png
26,fisQ Química,NULL,15,5,1,fisQ,3,fisq.png
27,GVIDA,NULL,30,20,0,GV,4,gvida.png
28,GVIDA Biologia,NULL,15,10,0,GV,4,gvida.png
29,GVIDA Geologia,NULL,15,10,0,GV,4,gvida.png
30,mat12,NULL,30,20,1,MXII,4,mat12.png
31,mat12 10º ano,30,30,20,1,MXII,4,mat12_10.png
32,mat12 11º ano,30,30,20,1,MXII,4,mat12_11.png
33,mat12 12º ano,30,30,20,1,MXII,4,mat12_12.png
34,geo@NET,NULL,20,15,0,GEO,3,geonet.png
35,FQuest,NULL,30,10,1,FQu,4,fquest.png
